Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_tool_link,-0.000499999999999945,0,-5.55111512312578E-16,0,0,0,2.49999999999997E-05,1.04166666666665E-10,-2.01948391736579E-26,1.19553447908055E-25,5.41666666666639E-11,-8.32027373954706E-25,5.41666666666674E-11,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_tool_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_tool_link.STL,,tool_plate-1,L_tool_link,Axis_left_EE_tool,left_EE_tool,fixed,0,0,0.0533000000000003,1.5707963267949,-1.5707963267949,0,left_EE_link,0,0,0,,,,,,,,,,,,
left_wrist2_camera_link,-2.22044604925031E-16,0.0716935987989149,-0.00635000000000008,0,0,0,0.07549040710943,2.14881616185536E-05,1.27054942088145E-21,-5.9292306307801E-21,2.191482174861E-05,-7.6232965252887E-21,3.48977308328346E-05,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_wrist2_camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/left_wrist2_camera_link.STL,,Assembly_Wrist Lidar Mounting Mechanism_V2-1/L515 simple model-1,left_wrist_camera_link,Axis_left_wrist2_camera,left_wrist2_camera,fixed,0,-0.0583299999999995,0.0534000000000005,1.5707963267949,0,3.14159265358979,left_wrist2_link,0,0,0,,,,,,,,,,,,
right_base_link,2.22044604925031E-16,0,0.0452500167858341,0,0,0,1.39397162412901,0.00271550342627118,1.62630325872826E-19,3.79470760369927E-19,0.00271550342627118,2.71050543121376E-19,0.00319199166031868,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_base_link.STL,,eSeries_UR5e_Base_simple-1,R_base_link,Axis_base_right_base,base_right_base,fixed,0.0682840549679992,-0.177248737341533,1.24386766943567,-2.52611294491941,0.523598775598295,2.52611294491941,base_link,0,0,0,,,,,,,,,,,,
right_shoulder_link,1.51306617723335E-05,0.00937262932033167,0.0670267917081414,0,0,0,1.69867711391749,0.00442865037959082,1.79699203129531E-08,-1.97665668981483E-07,0.00390531752644237,5.69595475776794E-05,0.00356004026239241,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_shoulder_link.STL,,eSeries_UR5e_2_simple-1,R_shoulder_link,L_base_shoulder,right_base_shoulder,revolute,0,0,0.0990600000000001,0,-0.000227291627930162,1.5707963267949,right_base_link,-0.707106762921459,0.707106781186544,0.000160719450035207,150,3.33,-6.28,6.28,,,,,,,,
right_upperarm_link,-1.3580963609261E-07,0.212499969895026,0.0653493983179749,0,0,0,6.31285273346302,0.16990036349023,8.61179152728681E-09,-3.015095721981E-07,0.0127291856529223,4.74484085051866E-10,0.168139675767775,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_upperarm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_upperarm_link.STL,,eSeries_UR5e_3_simple-1,R_upper_link,R_shoulder_upper,right_shoulder_upperarm,revolute,1.44214263771425E-05,0.0743999999999995,0.063448998361065,-1.5707963267927,-1.57056903516778,0,right_shoulder_link,0,0,1,150,28,-6.28,6.28,,,,,,,,
right_forearm_link,-6.88234000900678E-08,0.150537145210714,0.0641679259977745,0,0,0,3.18874323055421,0.0756018393308706,-9.23950091986209E-08,-2.6506829771053E-08,0.00433460742981964,-0.00195295573135471,0.0749126070237331,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_forearm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_forearm_link.STL,,eSeries_UR5e_4_simple-1,R_forearm_link,R_upper_forearm,right_upperarm_forearm,revolute,0,0.425,0,3.14159265358979,0,-3.14159265358979,right_upperarm_link,0,0,1,28,3.33,-6.28,6.28,,,,,,,,
right_wrist1_link,6.90914475631743E-08,-0.00349490925940388,0.058023776068165,0,0,0,0.633562086796879,0.000995072942241236,-1.48590563491717E-10,4.36373581651326E-10,0.000769001946471978,3.28284789390375E-05,0.00069132635342523,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_wrist1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_wrist1_link.STL,,eSeries_UR5e_5_simple-1,R_wrist1_link,L_forearm_wrist1,right_forearm_wrist1,revolute,0,0.39225,0.0139500000000001,3.14159265358979,0,1.57079632679491,right_forearm_link,-0.499999999999996,-0.707106781186547,-0.500000000000006,28,3.33,-6.28,6.28,,,,,,,,
right_wrist2_link,-8.35234270635254E-09,-0.004018089370732,0.0461487186816052,0,0,0,0.547369083405585,0.000728213843703612,-2.77103618100561E-12,-4.36601663026184E-11,0.000503983489439202,1.59481907904133E-05,0.000628884093065119,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_wrist2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_wrist2_link.STL,,eSeries_UR5e_6_simple-1,R_wrist2_link,R_wrist1_wrist2,right_wrist1_wrist2,revolute,0,0.0463,0.0728500000000001,1.5707963267949,0,3.14159265358979,right_wrist1_link,0,0,-1,28,3.33,-6.28,6.28,,,,,,,,
right_EE_link,-1.0910551495602E-07,0.000469331511707249,0.0254781326274035,0,0,0,0.226303929757806,0.000131780293033956,1.13462469873368E-09,8.30939516988842E-11,0.000126852459976797,-3.72244556244629E-07,0.00016010434115452,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_EE_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_EE_link.STL,,eSeries_UR5e_7_simple-1,R_EE_link,L_wrist2_EE,right_wrist2_EE,revolute,0,0.0462999999999997,0.0534000000000001,1.5707963267949,0.000227291627932216,3.14159265358979,right_wrist2_link,-0.499839267634591,-0.707220408734442,-0.500000000000005,28,3.33,-6.28,6.28,,,,,,,,
right_tool_link,-0.000499999999999723,-1.11022302462516E-16,2.22044604925031E-16,0,0,0,2.49999999999991E-05,1.04166666666663E-10,-7.02780403243295E-26,1.79330171862082E-25,5.41666666666644E-11,7.93253282741282E-25,5.41666666666649E-11,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_tool_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_tool_link.STL,,tool_plate-2,R_tool_link,Axis_right_EE_tool,right_EE_tool,fixed,0,0,0.0533,1.57056903516696,-1.5707963267949,0,right_EE_link,0,0,0,,,,,,,,,,,,
right_shield_link,-0.432053818852578,-0.299623427140605,-0.761284761667057,0,0,0,343.186331803781,66.0531855223989,16.1389224462118,2.33515820023582,47.5083708781686,-12.9538913532173,64.8660387554497,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_shield_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_shield_link.STL,,,shield_link,shield_link_z,right_tool_shield,fixed,0,0,0,-1.5708,-0.00022729,-1.5708,right_tool_link,0,0,0,,,,,,,,,,,,
right_wrist2_camera_link,0,0.0716935987989153,0.00634999999999997,0,0,0,0.0754904071094299,2.14881616185537E-05,-4.2351647362715E-22,2.96461531539005E-21,2.191482174861E-05,-4.2351647362715E-21,3.48977308328345E-05,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_wrist2_camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Lowpoly_cholera_new_base_URDF_AVATRINA_TRINA_Defender/meshes/right_wrist2_camera_link.STL,,Assembly_Wrist Lidar Mounting Mechanism_V2-2/L515 simple model-1,right_wrist_camera_link,Axis_right_wrist2_camera,right_wrist2_camera,fixed,0,-0.0583300000000002,0.0533999999999999,1.5707963267949,0,0,right_wrist2_link,0,0,0,,,,,,,,,,,,
